Location name,Amount spent (BSD)
Acklins and Crooked Islands,≤100
Bimini,≤100
Exuma,≤100
Freeport,≤100
Fresh Creek,≤100
Governor's Harbour,≤100
Harbour Island,≤100
High Rock,≤100
Inagua,≤100
Long Island,≤100
Marsh Harbour,≤100
New Providence,221
Nichollstown and Berry Islands,≤100
Ragged Island,≤100
Rock Sound,≤100
San Salvador and Rum Cay,≤100
Unknown,≤100