Location name,Amount spent (GTQ)
Alta Verapaz Department,2442
Baja Verapaz Department,784
Chimaltenango Department,2521
Chiquimula Department,1178
El Progreso Department,789
Escuintla Department,3449
Guatemala Department,45333
Huehuetenango Department,3351
Izabal Department,2247
Jalapa Department,1081
Jutiapa Department,1900
Petén Department,2015
Quetzaltenango Department,4727
Quiché Department,2457
Retalhuleu Department,1535
Sacatepéquez Department,4456
San Marcos Department,7860
Santa Rosa Department,1494
Sololá Department,1735
Suchitepéquez Department,2542
Totonicapán Department,1421
Unknown,≤100
Zacapa Department,973