Page ID,Page name,Disclaimer,Amount spent (PYG)
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,14099
368247363370300,LATITUD 25,Latitud 25,7267
100157179072061,Financiera ueno SAECA,These ads ran without a disclaimer,7267
594511160567719,UNFPA Paraguay,Livia Mburucuyá Melgarejo Osorio,6439
359307964420456,Terere Cómplice,Centro Interdisciplinario de Investigación Social,3437
111912341409356,Centinela del Norte,Centinela del Norte,3276
150741961754512,Mercedes Canese Antúnez,Mercedes Canese,1798
1365651890238610,Soberanía Paraguay,Prensa_Py,1742
107706177740738,Periodismo 29,Periodismo 29,582
101209788723937,Dr. Omar Gonzalez,Dr. Omar Gonzalez,291
116603861327799,alex_sa.c,These ads ran without a disclaimer,≤100
272098156231873,Diario HOY Paraguay,Diario HOY Paraguay,≤100
347341592056826,Sergio Estigarribia.,Sergio Estigarribia.,≤100